train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.9195963144302368,-27.20726775,68,5,0.06712406128644943,-0.4233244061470032,4,280,-4.6762495040893555,381,95.25,0.0003
0.8180163502693176,-25.380260875,146,5,0.11214692890644073,-1.0145725011825562,8,670,-6.49108362197876,771,96.375,0.0003
0.7255008220672607,-28.885167,211,5,0.04850452393293381,-1.6158720254898071,12,1070,-8.060857772827148,1171,97.58333333333333,0.0003
0.6434776186943054,-29.95094075,275,5,0.05268525704741478,-2.214226722717285,16,1470,-9.399580001831055,1571,98.1875,0.0003
0.584222137928009,-27.37686285,327,5,0.04173453152179718,-2.716367244720459,20,1792,-10.656935691833496,1893,94.65,0.0003
0.5181654095649719,-27.665781999999997,392,5,0.03325696289539337,-3.310791254043579,24,2192,-11.564456939697266,2293,95.54166666666667,0.0003
0.46892860531806946,-26.974856214285715,447,5,0.05725715309381485,-3.841834545135498,28,2525,-12.358718872070312,2626,93.78571428571429,0.0003
0.41593843698501587,-26.899696812499997,512,5,0.051632922142744064,-4.413357257843018,32,2925,-12.882217407226562,3026,94.5625,0.0003
0.3797271251678467,-26.289116888888884,569,5,0.3577374517917633,-4.873966693878174,36,3229,-13.135973930358887,3330,92.5,0.0003
0.3368629813194275,-26.3379078,653,5,0.06478198617696762,-5.44602108001709,40,3629,-13.471542358398438,3730,93.25,0.0003
0.30386000871658325,-25.633215499999995,727,5,0.700402021408081,-6.016175746917725,44,3974,-13.867507934570312,4075,92.61363636363636,0.0003
0.2744663655757904,-24.850562125,886,4,0.4933682382106781,-6.421311378479004,48,4315,-13.833919525146484,4416,92.0,0.0003
0.24851031601428986,-24.22315617307692,958,4,0.7447971105575562,-6.846868515014648,52,4649,-13.76680850982666,4750,91.34615384615384,0.0003
0.22071526944637299,-23.906153928571428,1041,4,1.5603914260864258,-7.363507270812988,56,5049,-13.921920776367188,5150,91.96428571428571,0.0003
0.19612997770309448,-23.610195799999996,1126,4,0.5716791152954102,-8.018915176391602,60,5449,-13.462845802307129,5550,92.5,0.0003
0.17940805852413177,-23.09767715625,1191,4,0.7250652313232422,-8.316621780395508,64,5752,-13.766730308532715,5853,91.453125,0.0003
0.15964321792125702,-23.16851579411765,1525,4,0.0971541702747345,-8.763697624206543,68,6152,-13.438762664794922,6253,91.95588235294117,0.0003
0.14435353875160217,-22.53230976388889,1599,4,0.12708677351474762,-8.833779335021973,72,6500,-13.417879104614258,6601,91.68055555555556,0.0003
0.12965790927410126,-22.045651078947373,1678,4,0.09923738241195679,-9.32667064666748,76,6874,-13.257737159729004,6975,91.77631578947368,0.0003
0.11821490526199341,-21.606429400000003,1747,4,0.15705108642578125,-9.3737211227417,80,7198,-12.912659645080566,7299,91.2375,0.0003
0.10895630717277527,-21.061182511904764,1809,4,0.4706658124923706,-9.691706657409668,84,7486,-12.75421142578125,7587,90.32142857142857,0.0003
0.10185624659061432,-20.445679147727272,1909,4,0.09566076099872589,-9.524983406066895,88,7725,-12.49936294555664,7826,88.93181818181819,0.0003
0.09304716438055038,-20.08693927173913,2318,3,1.5473170280456543,-9.539824485778809,92,8048,-12.311736106872559,8149,88.57608695652173,0.0003
0.08477655798196793,-19.68173296875,2743,3,1.3214366436004639,-10.011442184448242,96,8383,-12.065213203430176,8484,88.375,0.0003
0.07713623344898224,-19.294465180000003,2930,3,0.4488316774368286,-9.733819007873535,100,8723,-11.88760757446289,8824,88.24,0.0003
