time/time_elapsed,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/n_updates,time/fps
74,0.9131519198417664,100.0,0.08318183571100235,4,-28.408900749999997,-4.33808708190918,0.0003,400,-0.4588026702404022,299,5
152,0.8095728158950806,100.0,0.057967040687799454,8,-27.94136,-5.947171211242676,0.0003,800,-1.06052565574646,699,5
217,0.7178968191146851,100.0,0.03770722076296806,12,-26.89961933333333,-7.932583332061768,0.0003,1200,-1.6684318780899048,1099,5
283,0.636655330657959,100.0,0.04241771623492241,16,-25.084735875,-9.682388305664062,0.0003,1600,-2.2688281536102295,1499,5
348,0.5646321177482605,100.0,0.04267685115337372,20,-24.38021115,-10.939884185791016,0.0003,2000,-2.8722310066223145,1899,5
412,0.5008234977722168,100.0,0.0321124829351902,24,-23.944546874999997,-12.435833930969238,0.0003,2400,-3.469773292541504,2299,5
477,0.4442911446094513,100.0,0.0346129834651947,28,-23.332956392857138,-13.0313720703125,0.0003,2800,-4.0706281661987305,2699,5
533,0.40107256174087524,98.1875,0.029270265251398087,32,-22.39291790625,-14.015522956848145,0.0003,3142,-4.577672004699707,3041,5
637,0.35591691732406616,98.38888888888889,0.04433634877204895,36,-22.749759749999996,-14.437631607055664,0.0003,3542,-5.150210380554199,3441,5
1143,0.3158879578113556,98.55,0.02874148078262806,40,-22.497531175,-14.863809585571289,0.0003,3942,-5.705459117889404,3841,3
1648,0.2804224193096161,98.68181818181819,0.043692298233509064,44,-22.783362727272728,-15.049078941345215,0.0003,4342,-6.306875228881836,4241,2
2098,0.24900054931640625,98.79166666666667,0.040285807102918625,48,-22.533599729166667,-15.156973838806152,0.0003,4742,-6.8408918380737305,4641,2
2183,0.2211848944425583,98.88461538461539,0.034428589046001434,52,-22.143121500000003,-15.12576961517334,0.0003,5142,-7.289798259735107,5041,2
2267,0.19652420282363892,98.96428571428571,0.04405636340379715,56,-21.65696101785714,-15.39815902709961,0.0003,5542,-7.983248710632324,5441,2
2354,0.17605455219745636,98.58333333333333,0.04286165535449982,60,-21.27608761666666,-15.208735466003418,0.0003,5915,-8.467955589294434,5814,2
2440,0.156531423330307,98.671875,0.030001699924468994,64,-20.9645495,-15.275063514709473,0.0003,6315,-8.871963500976562,6214,2
2525,0.13918575644493103,98.75,0.026792094111442566,68,-20.62064548529412,-15.230281829833984,0.0003,6715,-9.183143615722656,6614,2
2598,0.12582114338874817,98.04166666666667,0.032383572310209274,72,-20.259979361111114,-14.842952728271484,0.0003,7059,-9.62574577331543,6958,2
2669,0.11408168822526932,97.27631578947368,0.029079167172312737,76,-19.85971565789474,-14.61346435546875,0.0003,7393,-9.984126091003418,7292,2
2753,0.10145772248506546,97.4125,0.030947061255574226,80,-19.6425286125,-14.513978004455566,0.0003,7793,-10.463613510131836,7692,2
3075,0.09027434140443802,97.53571428571429,0.04035820811986923,84,-19.581358226190478,-13.847000122070312,0.0003,8193,-10.553996086120605,8092,2
3518,0.0814981684088707,97.0909090909091,0.029570505023002625,88,-19.240634704545457,-13.84376335144043,0.0003,8544,-11.286044120788574,8443,2
4023,0.0725664272904396,97.21739130434783,0.03914693370461464,92,-19.07136970652174,-13.390764236450195,0.0003,8944,-11.780930519104004,8843,2
4509,0.06492359936237335,97.17708333333333,0.035730183124542236,96,-18.834647822916665,-13.03953742980957,0.0003,9329,-11.88036823272705,9228,2
5014,0.05782251060009003,97.29,0.027408655732870102,100,-18.65642276,-12.470468521118164,0.0003,9729,-12.181751251220703,9628,1
5435,0.05253663659095764,96.62,0.028612542897462845,104,-18.002617119999996,-12.118541717529297,0.0003,10062,-11.798083305358887,9961,1
5873,0.04757840558886528,96.07,0.02948625572025776,108,-17.33304944,-11.939348220825195,0.0003,10407,-12.117430686950684,10306,1
6377,0.04247099533677101,96.07,0.037904247641563416,112,-17.064225179999998,-11.405986785888672,0.0003,10807,-12.279083251953125,10706,1
6882,0.03793709725141525,96.07,0.02766132354736328,116,-16.878355839999998,-11.001542091369629,0.0003,11207,-12.615934371948242,11106,1
7329,0.0343291349709034,95.61,0.028404969722032547,120,-16.45890304,-10.612095832824707,0.0003,11561,-13.157804489135742,11460,1
7835,0.030684318393468857,95.61,0.033484987914562225,124,-16.11979777,-10.270551681518555,0.0003,11961,-12.49905014038086,11860,1
8273,0.027820320799946785,95.08,0.30131852626800537,128,-15.787522649999998,-9.871421813964844,0.0003,12308,-13.275898933410645,12207,1
8779,0.02485893853008747,95.66,0.024182641878724098,132,-15.65248173,-9.445865631103516,0.0003,12708,-12.93828296661377,12607,1
9283,0.022233493626117706,95.66,0.4969550669193268,136,-15.21748129,-8.80068588256836,0.0003,13108,-12.554410934448242,13007,1
9695,0.020331738516688347,94.91,0.01969977095723152,140,-14.834548799999999,-8.647737503051758,0.0003,13433,-11.868906021118164,13332,1
10165,0.018357252702116966,94.63,0.027959739789366722,144,-14.30254509,-8.07390022277832,0.0003,13805,-11.640976905822754,13704,1
10585,0.016763880848884583,93.96,0.32591813802719116,148,-13.911176170000003,-7.987188816070557,0.0003,14138,-13.184381484985352,14037,1
11014,0.015291494317352772,93.34,0.017138846218585968,152,-13.668641440000002,-7.696574687957764,0.0003,14476,-11.712284088134766,14375,1
11441,0.013957769609987736,92.72,0.0224362351000309,156,-13.451476880000003,-7.271623134613037,0.0003,14814,-11.908754348754883,14713,1
11890,0.012686194851994514,92.54,0.022762835025787354,160,-13.267810900000002,-6.865688323974609,0.0003,15169,-11.335360527038574,15068,1
12269,0.011711404658854008,91.53,0.143722802400589,164,-12.995292220000001,-6.578741550445557,0.0003,15468,-11.629878044128418,15367,1
12758,0.010573245584964752,91.41,0.014604559168219566,168,-12.880722310000001,-6.37737512588501,0.0003,15856,-10.825175285339355,15755,1
13187,0.009690695442259312,91.36,0.016231227666139603,172,-12.719840979999999,-6.034739971160889,0.0003,16195,-11.377203941345215,16094,1
13565,0.008967981673777103,91.01,0.025495700538158417,176,-12.71721317,-5.728579521179199,0.0003,16494,-10.142189979553223,16393,1
13923,0.00835826899856329,89.82,0.014559656381607056,180,-12.631723099999999,-5.500711441040039,0.0003,16775,-9.494429588317871,16674,1
14393,0.007607649080455303,89.56,0.01583094149827957,184,-12.470783220000001,-5.174894332885742,0.0003,17149,-8.133307456970215,17048,1
14735,0.0071080694906413555,88.75,0.06823700666427612,188,-12.248064509999999,-4.91934871673584,0.0003,17419,-10.451826095581055,17318,1
15043,0.00667955307289958,87.18,0.13827461004257202,192,-11.888294259999999,-4.694201469421387,0.0003,17662,-8.505574226379395,17561,1
15393,0.00623461976647377,86.08,0.014537965878844261,196,-11.708541200000003,-4.5636749267578125,0.0003,17937,-8.748778343200684,17836,1
15761,0.005725526250898838,85.58,0.017760926857590675,200,-11.595515319999999,-4.133075714111328,0.0003,18287,-7.980754375457764,18186,1
16117,0.005263602361083031,85.76,0.013035440817475319,204,-11.524698850000002,-3.9160189628601074,0.0003,18638,-7.448256015777588,18537,1
16312,0.004862016532570124,85.81,0.039183154702186584,208,-11.49214892,-3.538574695587158,0.0003,18988,-6.534154891967773,18887,1
16616,0.004517334513366222,85.05,0.014012441039085388,212,-11.207140279999999,-3.441164493560791,0.0003,19312,-8.669390678405762,19211,1
16672,0.004190364852547646,84.44,0.011993651278316975,216,-10.99441321,-3.091219425201416,0.0003,19651,-6.580593109130859,19550,1
16727,0.003889826126396656,84.29,0.012886837124824524,220,-10.96541405,-2.9048376083374023,0.0003,19990,-5.724920749664307,19889,1
16769,0.00369077711366117,82.81,0.01679433137178421,224,-10.70512201,-2.6025583744049072,0.0003,20242,-5.320884704589844,20141,1
16809,0.003510785289108753,81.76,0.011502077803015709,228,-10.478180269999998,-2.417288303375244,0.0003,20484,-2.298795700073242,20383,1
16864,0.0032740100286900997,81.16,0.038794055581092834,232,-10.367417080000003,-2.1727535724639893,0.0003,20824,-3.2392029762268066,20723,1
16920,0.0030735922046005726,80.58,0.029932834208011627,236,-10.21262477,-2.0171473026275635,0.0003,21166,-3.741830587387085,21065,1
16960,0.0029258665163069963,79.76,0.013949412852525711,240,-10.043774720000002,-1.789624810218811,0.0003,21409,-4.0712361335754395,21308,1
16996,0.002806690987199545,78.15,0.013942413963377476,244,-9.75737558,-1.595862627029419,0.0003,21620,-3.255432605743408,21519,1
17042,0.00266239233314991,77.66,0.02843814343214035,248,-9.70921292,-1.4794255495071411,0.0003,21904,-2.2639219760894775,21803,1
17088,0.0025478252209722996,77.04,0.0074050831608474255,252,-9.555082769999999,-1.389434576034546,0.0003,22180,-4.379702568054199,22079,1
17142,0.002410000888630748,76.98,0.015589935705065727,256,-9.509091300000001,-1.1493080854415894,0.0003,22512,-1.827050805091858,22411,1
17186,0.002306383801624179,76.13,0.010272450745105743,260,-9.34944659,-1.0948419570922852,0.0003,22782,-2.3273942470550537,22681,1
17242,0.002177078975364566,76.56,0.017286239191889763,264,-9.319977999999999,-0.662539005279541,0.0003,23124,0.49193036556243896,23023,1
17280,0.002095272298902273,74.96,0.008612163364887238,268,-9.07017872,-0.5926951169967651,0.0003,23352,-2.8502187728881836,23251,1
17325,0.0019948813132941723,74.29,0.006705069914460182,272,-8.97634249,-0.521385133266449,0.0003,23624,-2.1591498851776123,23523,1
17354,0.001944756368175149,72.99,0.007455493789166212,276,-8.64806992,-0.45261478424072266,0.0003,23793,-1.8443387746810913,23692,1
17397,0.0018937811255455017,72.79,0.010367091745138168,280,-8.39553444,-0.3034098446369171,0.0003,24054,-0.6032505035400391,23953,1
17441,0.0018320346716791391,71.72,0.009664261713624,284,-8.10424813,-0.08540099859237671,0.0003,24321,0.15990859270095825,24220,1
17489,0.0017662051832303405,71.95,0.007908079773187637,288,-8.16824883,0.019603827968239784,0.0003,24614,-1.8280129432678223,24513,1
17544,0.00170653045643121,72.89,0.008362052962183952,292,-8.27181682,0.21356113255023956,0.0003,24951,-1.1588037014007568,24850,1
17586,0.0016761875012889504,72.59,0.006117881275713444,296,-8.19279174,0.31140777468681335,0.0003,25196,-0.36825746297836304,25095,1
17633,0.0016441472107544541,71.99,0.007861549034714699,300,-8.0335895,0.5064140558242798,0.0003,25486,1.3973381519317627,25385,1
17678,0.0016061441274359822,71.22,0.008498068898916245,304,-7.89036776,0.5455867648124695,0.0003,25760,0.47846806049346924,25659,1
17714,0.0016026226803660393,69.87,0.007181250490248203,308,-7.706994160000001,0.618245005607605,0.0003,25975,2.039867401123047,25874,1
17759,0.0015990311512723565,69.31,0.009115267544984818,312,-7.5481764,0.7502129077911377,0.0003,26243,-2.3707077503204346,26142,1
17805,0.0015810206532478333,68.72,0.006299613043665886,316,-7.49600437,0.8919174671173096,0.0003,26523,-0.15436992049217224,26422,1
17835,0.0015687380218878388,67.03,0.007601812481880188,320,-7.258177320000002,0.8935117721557617,0.0003,26693,0.5195638537406921,26592,1
17867,0.001573590561747551,66.32,0.01603260636329651,324,-7.147169590000001,0.9917736649513245,0.0003,26874,0.054072171449661255,26773,1
17897,0.0015639490447938442,65.64,0.004761766642332077,328,-7.085140620000001,1.0297179222106934,0.0003,27048,0.788565993309021,26947,1
17929,0.0015636954922229052,64.08,0.013319875113666058,332,-6.870926649999999,1.1892766952514648,0.0003,27232,0.29362189769744873,27131,1
17961,0.0015878141857683659,62.55,0.008157557807862759,336,-6.621612349999998,1.2784401178359985,0.0003,27421,0.44613736867904663,27320,1
17986,0.0015877748373895884,61.54,0.00682930089533329,340,-6.4741424599999995,1.2341910600662231,0.0003,27563,-1.1940995454788208,27462,1
18017,0.0015992553671821952,61.18,0.014802336692810059,344,-6.45963086,1.311712384223938,0.0003,27738,-0.18639624118804932,27637,1
18071,0.001618129201233387,60.45,0.010890264064073563,348,-6.306626199999999,1.3762681484222412,0.0003,27949,-1.3111252784729004,27848,1
18107,0.0016242400743067265,59.81,0.01184050366282463,352,-6.201007229999999,1.5736727714538574,0.0003,28161,1.7702431678771973,28060,1
18136,0.0016575395129621029,58.18,0.011289380490779877,356,-6.0053524099999995,1.5179641246795654,0.0003,28330,-0.38277047872543335,28229,1
18173,0.0016913538565859199,57.68,0.013173379004001617,360,-5.95457988,1.6086945533752441,0.0003,28550,-0.4913753271102905,28449,1
18210,0.0017199584981426597,56.43,0.013226207345724106,364,-5.803867410000001,1.6886801719665527,0.0003,28767,0.9015852212905884,28666,1
18239,0.0017480712849646807,55.78,0.00650204299017787,368,-5.69768671,1.638648271560669,0.0003,28930,0.08481323719024658,28829,1
18268,0.0017701578326523304,54.76,0.019607529044151306,372,-5.54815299,1.68480384349823,0.0003,29100,0.0927809476852417,28999,1
18298,0.0018041399307549,54.73,0.007777997758239508,376,-5.52260469,1.773021936416626,0.0003,29266,0.6028431057929993,29165,1
18326,0.001853317255154252,53.71,0.019756224006414413,380,-5.375528740000001,1.9159914255142212,0.0003,29425,0.3396098017692566,29324,1
18377,0.001894059358164668,53.14,0.015983495861291885,384,-5.28372825,1.9046168327331543,0.0003,29635,-0.08946094661951065,29534,1
