time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
5,0.9144421815872192,-12.205692291259766,74,400,0.14805451035499573,-1.0541868209838867,100.0,4,0.0003,299,-36.48899975
5,0.8111280202865601,-17.319360733032227,154,800,0.10647629201412201,-2.4680423736572266,100.0,8,0.0003,699,-36.969211625
5,0.7194927930831909,-22.226825714111328,220,1200,0.09448763728141785,-3.8688695430755615,100.0,12,0.0003,1099,-36.86939108333333
5,0.6381802558898926,-26.390562057495117,285,1600,0.0895785465836525,-5.276983261108398,100.0,16,0.0003,1499,-36.7032059375
3,0.5660837292671204,-30.12960433959961,574,2000,0.08891871571540833,-6.6832475662231445,100.0,20,0.0003,1899,-38.05902290000001
2,0.5021442174911499,-33.71910095214844,928,2400,0.08074574172496796,-8.078014373779297,100.0,24,0.0003,2299,-37.38996508333333
2,0.44544973969459534,-36.16402816772461,995,2800,0.07856309413909912,-9.470846176147461,100.0,28,0.0003,2699,-37.214604
2,0.39520063996315,-38.13569259643555,1073,3200,0.10364174097776413,-10.817597389221191,100.0,32,0.0003,3099,-36.99927246875
3,0.3507123589515686,-39.9619255065918,1158,3600,0.12009137868881226,-12.172041893005371,100.0,36,0.0003,3499,-37.401457888888885
3,0.3112694323062897,-41.15754318237305,1243,4000,0.09521177411079407,-13.467236518859863,100.0,40,0.0003,3899,-37.230199125
3,0.2762988805770874,-41.95723342895508,1328,4400,0.11698722094297409,-14.90052604675293,100.0,44,0.0003,4299,-36.91311222727273
3,0.24529515206813812,-42.49946975708008,1482,4800,0.1065903827548027,-16.126062393188477,100.0,48,0.0003,4699,-36.50658525
2,0.21781644225120544,-43.58062744140625,1987,5200,0.10122530162334442,-17.38323402404785,100.0,52,0.0003,5099,-36.49043844230769
2,0.1934891790151596,-43.955230712890625,2452,5600,0.1257794350385666,-18.682449340820312,100.0,56,0.0003,5499,-36.51923766071429
2,0.17193205654621124,-44.45374298095703,2855,6000,0.09790049493312836,-19.645660400390625,100.0,60,0.0003,5899,-36.16416171666666
1,0.1528654843568802,-44.2790641784668,3362,6400,0.11298871040344238,-20.721559524536133,100.0,64,0.0003,6299,-35.798477109375
1,0.13597984611988068,-43.63618850708008,3867,6800,0.10733406245708466,-21.814167022705078,100.0,68,0.0003,6699,-35.83764276470588
1,0.1211487203836441,-44.004112243652344,3965,7198,0.19616755843162537,-22.345792770385742,99.97222222222223,72,0.0003,7097,-35.78089376388888
1,0.10794202238321304,-44.14573669433594,4054,7598,0.12336481362581253,-22.414169311523438,99.97368421052632,76,0.0003,7497,-35.590241052631576
