train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
299,74,-31.783707,400,4,-1.0546095371246338,0.0003,5,0.14750666916370392,0.9144687056541443,100.0,-12.347034454345703
699,154,-34.657187625,800,8,-2.4653584957122803,0.0003,5,0.10289695113897324,0.8111096024513245,100.0,-17.945358276367188
1099,219,-32.015252999999994,1200,12,-3.8626890182495117,0.0003,5,0.10317286849021912,0.7194404602050781,100.0,-23.26243019104004
1499,285,-32.1348180625,1600,16,-5.271234035491943,0.0003,5,0.10854366421699524,0.6381240487098694,100.0,-27.124422073364258
1899,352,-32.71002465,2000,20,-6.678102493286133,0.0003,5,0.10533267259597778,0.5660158395767212,100.0,-31.347305297851562
2299,760,-33.26406941666667,2400,24,-8.080242156982422,0.0003,3,0.10426592826843262,0.5020968317985535,100.0,-34.68907928466797
2699,1163,-32.536232250000005,2800,28,-9.463127136230469,0.0003,2,0.1451086699962616,0.4454425275325775,100.0,-37.5408821105957
3099,1647,-32.58635221875,3200,32,-10.807164192199707,0.0003,1,0.13514596223831177,0.3952260911464691,100.0,-39.755210876464844
3499,2153,-33.033341,3600,36,-12.215341567993164,0.0003,1,0.2084086835384369,0.3507598638534546,100.0,-42.33689498901367
3899,2657,-33.15432705,4000,40,-13.533912658691406,0.0003,1,0.14256730675697327,0.31136271357536316,100.0,-42.942970275878906
4299,3163,-33.23611847727273,4400,44,-14.905777931213379,0.0003,1,0.18654131889343262,0.27641788125038147,100.0,-44.37749481201172
4699,3668,-33.01827466666666,4800,48,-16.096391677856445,0.0003,1,0.1778750866651535,0.2454298436641693,100.0,-45.83509826660156
5099,4172,-32.92300330769231,5200,52,-17.295429229736328,0.0003,1,0.18542632460594177,0.217980295419693,100.0,-46.189754486083984
5499,4678,-33.147359089285715,5600,56,-18.423643112182617,0.0003,1,0.19945800304412842,0.1936592012643814,100.0,-46.66295623779297
5899,4814,-33.13538666666667,6000,60,-19.494455337524414,0.0003,1,0.24388545751571655,0.17214670777320862,100.0,-46.88328170776367
6299,4900,-32.734421359375,6400,64,-20.839431762695312,0.0003,1,0.15672913193702698,0.15305064618587494,100.0,-46.19888687133789
6699,4985,-32.45761104411764,6800,68,-21.81980323791504,0.0003,1,0.16831675171852112,0.1361207515001297,100.0,-46.600486755371094
7099,5070,-32.194038875000004,7200,72,-22.730789184570312,0.0003,1,0.17777565121650696,0.12110644578933716,100.0,-46.038578033447266
7499,5570,-32.037316947368424,7600,76,-23.612199783325195,0.0003,1,0.14600323140621185,0.10779456049203873,100.0,-45.67588424682617
7899,6074,-31.892126150000003,8000,80,-24.5573787689209,0.0003,1,0.1530512273311615,0.09598692506551743,100.0,-44.86063003540039
8299,6580,-31.783659083333333,8400,84,-24.984567642211914,0.0003,1,0.2038882076740265,0.08552829176187515,100.0,-44.82026672363281
8699,7084,-31.596265465909088,8800,88,-25.278276443481445,0.0003,1,0.14893104135990143,0.07628798484802246,100.0,-43.860565185546875
9099,7440,-31.38552089130435,9200,92,-25.899307250976562,0.0003,1,0.1645214557647705,0.06810791045427322,100.0,-43.47970962524414
9499,7548,-31.332707322916665,9600,96,-26.377578735351562,0.0003,1,0.1179826483130455,0.060852937400341034,100.0,-42.40514373779297
9899,7633,-31.158220610000004,10000,100,-27.094743728637695,0.0003,1,0.15341857075691223,0.05444203317165375,100.0,-41.733551025390625
10299,7718,-30.97892041,10400,104,-26.240802764892578,0.0003,1,0.12872670590877533,0.04869675636291504,100.0,-40.79456329345703
10699,7807,-30.482383690000006,10800,108,-26.705045700073242,0.0003,1,0.13718581199645996,0.04362604022026062,100.0,-40.316856384277344
11099,7894,-30.302908160000005,11200,112,-24.940502166748047,0.0003,1,0.13481615483760834,0.039133381098508835,100.0,-39.94429397583008
