train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/episodes
-11.884573936462402,73,0.15991900861263275,299,400,-1.05489981174469,100.0,5,0.9144092202186584,0.0003,-31.465065000000003,4
-17.02623176574707,154,0.09212902188301086,699,800,-2.458997964859009,100.0,5,0.8110341429710388,0.0003,-31.045024875000003,8
-22.173337936401367,219,0.11159045994281769,1099,1200,-3.8531432151794434,100.0,5,0.7193872928619385,0.0003,-30.869384083333333,12
-26.685314178466797,285,0.0848148763179779,1499,1600,-5.278346061706543,100.0,5,0.6381204724311829,0.0003,-30.704808999999997,16
-30.43914794921875,392,0.0883672684431076,1899,2000,-6.6688923835754395,100.0,5,0.5660402178764343,0.0003,-31.43736895,20
-34.2727165222168,797,0.08964228630065918,2299,2400,-8.078507423400879,100.0,3,0.5020995736122131,0.0003,-31.253591375,24
-36.77565383911133,1201,0.10116375982761383,2699,2800,-9.467504501342773,100.0,2,0.4454461634159088,0.0003,-30.906955,28
-39.084964752197266,1686,0.09911616146564484,3099,3200,-10.791648864746094,100.0,1,0.39525169134140015,0.0003,-31.082969218749998,32
-40.76543045043945,2191,0.12272894382476807,3499,3600,-12.064825057983398,100.0,1,0.3507806360721588,0.0003,-31.757029527777775,36
-42.200157165527344,2695,0.14085978269577026,3899,4000,-13.405917167663574,100.0,1,0.31135761737823486,0.0003,-31.778024749999997,40
-42.963287353515625,3017,0.1406610608100891,4299,4400,-14.877553939819336,100.0,1,0.27637502551078796,0.0003,-31.797863818181813,44
-43.881065368652344,3101,0.12335701286792755,4699,4800,-16.177371978759766,100.0,1,0.24537663161754608,0.0003,-31.89856685416667,48
-44.515682220458984,3186,0.13893556594848633,5099,5200,-17.36957550048828,100.0,1,0.21787294745445251,0.0003,-31.65973228846154,52
-44.59883499145508,3271,0.11552974581718445,5499,5600,-18.767742156982422,100.0,1,0.1934991478919983,0.0003,-31.564453285714283,56
-44.53241729736328,3518,0.15156933665275574,5899,6000,-19.99248695373535,100.0,1,0.17184819281101227,0.0003,-31.574057916666664,60
-44.82929229736328,4023,0.09923049062490463,6299,6400,-20.865835189819336,100.0,1,0.15271563827991486,0.0003,-31.5913746875,64
-44.83960723876953,4509,0.12274203449487686,6685,6786,-21.91093635559082,99.79411764705883,1,0.13632242381572723,0.0003,-31.048801808823526,68
-44.5622673034668,5014,0.14168474078178406,7085,7186,-22.768861770629883,99.80555555555556,1,0.12122301012277603,0.0003,-31.090645152777775,72
-43.883907318115234,5519,0.1856783777475357,7485,7586,-24.30580711364746,99.8157894736842,1,0.10783270746469498,0.0003,-31.20686446052631,76
-43.19516372680664,6024,0.13366512954235077,7885,7986,-24.915935516357422,99.825,1,0.09598461538553238,0.0003,-31.050929487499996,80
-42.654422760009766,6529,0.17598941922187805,8285,8386,-25.224166870117188,99.83333333333333,1,0.08550488203763962,0.0003,-30.866499880952375,84
-42.083892822265625,7032,0.1851954162120819,8685,8786,-25.93842887878418,99.8409090909091,1,0.07627209275960922,0.0003,-30.66991760227273,88
-41.79093933105469,7537,0.1311854124069214,9085,9186,-26.269031524658203,99.84782608695652,1,0.06808838993310928,0.0003,-30.856837086956524,92
-41.1328239440918,8042,0.14940068125724792,9485,9586,-24.747528076171875,99.85416666666667,1,0.06090638041496277,0.0003,-30.9850133125,96
-40.366519927978516,8547,0.16505363583564758,9885,9986,-26.579242706298828,99.86,1,0.05456039682030678,0.0003,-30.96019862,100
-40.193363189697266,9051,0.2051747739315033,10285,10386,-24.93337059020996,99.86,1,0.04893859103322029,0.0003,-30.90365088,104
-39.38458251953125,9527,0.24585643410682678,10661,10762,-25.677108764648438,99.62,1,0.04424331337213516,0.0003,-30.82509121,108
-38.52772521972656,10032,0.20725859701633453,11061,11162,-23.182523727416992,99.62,1,0.0398680754005909,0.0003,-30.813374529999997,112
-38.32815933227539,10536,0.12230545282363892,11461,11562,-23.019224166870117,99.62,1,0.03602658212184906,0.0003,-30.56478163,116
