Wall time,Step,Value
1744563856.0286996,362,-22.12746238708496
1744563937.4503746,762,-23.643220901489258
1744563985.3411765,1052,-20.692419052124023
1744564049.550382,1452,-20.906177520751953
1744564102.1453438,1777,-20.431278228759766
1744564146.360063,2046,-19.696523666381836
1744564197.2344456,2350,-19.583093643188477
1744564263.025389,2747,-19.86845588684082
1744564329.7185469,3131,-19.974048614501953
1744564415.0420418,3531,-19.929624557495117
1744564499.575281,3931,-19.775827407836914
1744564585.096303,4331,-19.825931549072266
1744564670.8674865,4731,-19.910213470458984
1744564755.2511382,5131,-19.70783233642578
1744564840.7339776,5531,-19.684415817260742
1744564926.3653967,5931,-19.664377212524414
1744565011.2424397,6331,-19.5137996673584
1744565096.3289475,6731,-19.55014991760254
1744565180.9478867,7131,-19.436206817626953
1744565266.4682837,7531,-19.23093032836914
1744565355.3443892,7931,-19.022445678710938
1744565440.4874003,8331,-18.957509994506836
1744565526.1568384,8731,-18.836841583251953
1744565599.483176,9065,-18.70400047302246
1744565685.525033,9465,-18.49811553955078
1744565770.6897182,9865,-18.196735382080078
1744565847.998494,10228,-17.65180015563965
1744565935.557606,10628,-17.668148040771484
1744566001.28273,10934,-17.205371856689453
1744566082.666399,11311,-16.918621063232422
1744566160.419696,11672,-16.767105102539062
1744566245.8646302,12072,-16.541473388671875
1744566311.3866942,12377,-16.11988639831543
1744566370.9578173,12652,-15.671879768371582
1744566443.0983045,12985,-15.284451484680176
1744566497.7896798,13231,-14.922821998596191
1744566575.686831,13587,-14.524575233459473
1744566630.199394,13837,-13.987085342407227
1744566680.9525957,14067,-13.54533576965332
1744566747.1039033,14370,-13.166759490966797
1744566814.916574,14678,-12.783411026000977
1744566891.6634119,15030,-12.592583656311035
1744566978.151704,15430,-12.254636764526367
1744567065.6472926,15830,-12.040355682373047
1744567123.9272535,16089,-11.701250076293945
1744567180.5151463,16347,-11.406723022460938
1744567232.308599,16580,-11.025496482849121
1744567300.7682498,16887,-10.755839347839355
1744567361.4963593,17166,-10.473217964172363
1744567424.8706298,17462,-10.277539253234863
1744567477.1147594,17699,-9.97423267364502
1744567541.632353,17998,-9.832708358764648
1744567586.3945403,18202,-9.440187454223633
1744567645.452586,18474,-9.322230339050293
1744567705.0735674,18749,-9.20339298248291
1744567764.5833745,19023,-9.059998512268066
1744567812.3186603,19229,-8.709571838378906
1744567858.6490617,19434,-8.453470230102539
1744567905.6931481,19642,-8.301196098327637
1744567989.9103856,20042,-8.372889518737793
1744568053.7101839,20340,-8.307908058166504
1744568101.5037801,20619,-8.223884582519531
1744568140.8016481,20849,-8.145842552185059
1744568186.525073,21129,-8.19745922088623
1744568239.6459167,21452,-8.182162284851074
1744568366.7889102,21720,-8.09334659576416
1744568415.8258274,22013,-7.961338996887207
1744568482.4342318,22399,-7.962865829467773
1744568530.457252,22669,-7.799952030181885
1744568577.5977778,22946,-7.897826194763184
1744568605.9379284,23103,-7.737295627593994
1744568633.4510117,23252,-7.576791286468506
1744568670.797279,23456,-7.4278645515441895
1744568719.9658177,23751,-7.423389434814453
1744568756.0342686,23963,-7.28447151184082
1744568800.0095482,24225,-7.261577606201172
1744568831.7201002,24409,-7.148284912109375
1744568879.407493,24691,-7.26110315322876
1744568914.6295414,24899,-7.16355562210083
1744568942.0796142,25047,-6.950625896453857
1744568981.16568,25275,-6.8244147300720215
1744569019.1943758,25501,-6.8829345703125
1744569043.9624937,25642,-6.807722091674805
1744569079.943313,25857,-6.772751808166504
1744569119.3276844,26085,-6.570616245269775
1744569144.1659834,26221,-6.352601528167725
1744569178.7397616,26422,-6.230327129364014
1744569218.0537288,26652,-6.252022743225098
1744569245.0324087,26809,-6.104127407073975
1744569272.7206192,26963,-5.845665454864502
1744569319.6284409,27242,-5.912571907043457
1744569355.8871663,27452,-5.766218662261963
1744569395.5520022,27682,-5.524267196655273
1744569420.6227467,27820,-5.294178009033203
1744569450.3859868,27988,-5.0875115394592285
1744569488.1078887,28208,-5.166256427764893
