Wall time,Step,Value
1747857753.406428,400,-31.465065002441406
1747857834.4963264,800,-31.045024871826172
1747857899.6385188,1200,-30.869384765625
1747857965.3379438,1600,-30.704809188842773
1747858073.240773,2000,-31.437368392944336
1747858477.5209084,2400,-31.253591537475586
1747858881.5245268,2800,-30.90695571899414
1747859367.214751,3200,-31.082969665527344
1747859871.7578785,3600,-31.757028579711914
1747860375.8044074,4000,-31.778024673461914
1747860697.7713861,4400,-31.797863006591797
1747860782.30126,4800,-31.89856719970703
1747860867.1557586,5200,-31.659732818603516
1747860952.011743,5600,-31.564453125
1747861198.3403125,6000,-31.574058532714844
1747861704.3070576,6400,-31.59137535095215
1747862189.7799654,6786,-31.04880142211914
1747862694.7851799,7186,-31.09064483642578
1747863199.6876993,7586,-31.206865310668945
1747863704.7041655,7986,-31.05093002319336
1747864209.7136552,8386,-30.866498947143555
1747864712.7768834,8786,-30.669918060302734
1747865217.6438968,9186,-30.856836318969727
1747865722.4999528,9586,-30.985013961791992
1747866227.7271047,9986,-30.9601993560791
1747866731.7781067,10386,-30.903650283813477
1747867207.6194682,10762,-30.825090408325195
1747867712.5536158,11162,-30.81337547302246
1747868216.781142,11562,-30.564781188964844
1747868719.778979,11962,-30.12382698059082
1747869225.5206032,12362,-30.049762725830078
1747869729.6456473,12762,-30.078998565673828
1747870231.7807648,13162,-29.899852752685547
1747870737.6396158,13562,-29.52811622619629
1747871241.7796276,13962,-29.368223190307617
1747871747.9278839,14362,-29.27093505859375
1747872251.7793276,14762,-29.145118713378906
1747872758.225111,15162,-29.025409698486328
1747873262.636471,15562,-28.956806182861328
1747873766.7839887,15962,-28.70697784423828
1747874271.782697,16362,-28.56759262084961
1747874744.8160725,16735,-28.688127517700195
1747875249.6901252,17135,-28.69593048095703
1747875716.8944612,17535,-28.677648544311523
1747876120.5820017,17935,-28.862777709960938
1747876524.510144,18335,-29.03870391845703
1747876928.7585294,18735,-29.30626678466797
1747877332.8422215,19135,-29.386144638061523
1747877736.603797,19535,-29.478208541870117
1747878140.5930936,19935,-29.65457534790039
1747878543.7425935,20335,-29.718311309814453
1747878947.522286,20735,-29.8553409576416
1747879351.5813913,21135,-30.014482498168945
1747879755.67876,21535,-30.388019561767578
1747880160.313064,21935,-31.011533737182617
1747880563.6301906,22335,-31.233152389526367
1747880967.809467,22735,-31.464588165283203
1747881371.7123756,23135,-31.625181198120117
1747881775.7355642,23535,-31.84950828552246
1747882179.626847,23935,-31.905298233032227
1747882583.639411,24335,-31.963842391967773
1747882987.5267072,24735,-32.008514404296875
1747883391.5101,25135,-32.21315383911133
1747883795.488222,25535,-32.17886734008789
1747884201.1962755,25935,-32.354957580566406
1747884603.5145898,26335,-32.56330871582031
1747885007.9134378,26735,-32.75376892089844
1747885411.4784427,27135,-32.647335052490234
1747885815.5307848,27535,-32.703670501708984
1747886219.7512064,27935,-32.733245849609375
1747886622.895267,28335,-32.69437789916992
1747887026.5441675,28735,-32.42361068725586
1747887431.8844824,29135,-31.93105697631836
1747887835.7899117,29535,-31.446834564208984
1747888240.1994174,29935,-31.278348922729492
1747888643.5167933,30335,-31.179767608642578
1747889047.7760322,30735,-31.084461212158203
1747889452.0918255,31135,-30.68036651611328
1747889855.5883586,31535,-30.290475845336914
1747890259.9348726,31935,-29.929203033447266
1747890663.6896927,32335,-29.577272415161133
1747891067.459464,32735,-29.140443801879883
1747891471.6155086,33135,-28.575590133666992
1747891877.4377623,33535,-28.266515731811523
1747892242.4869003,33895,-27.862186431884766
1747892645.4770966,34295,-27.747089385986328
1747893049.510587,34695,-27.401813507080078
1747893453.958036,35095,-27.100242614746094
1747893858.0247924,35495,-26.849096298217773
1747894260.5319095,35895,-26.56736946105957
1747894664.4982288,36295,-26.182634353637695
1747895069.2514687,36695,-25.811983108520508
1747895472.6637304,37095,-25.49176025390625
1747895877.1677804,37495,-24.960752487182617
